title,author,status,rating
Salt: A World History,Mark Kurlansky,queued,
 Being Ecological ,Timothy Morton,read,
The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,read,
Flights,"Olga Tokarczuk, Jennifer Croft",read,
The Box: How the Shipping Container Made the World Smaller and the World Economy Bigger,Marc Levinson,read,
Stories and Prose Poems,Aleksandr Solzhenitsyn,read,
Orkneyinga Saga: The History of the Earls of Orkney,"Anonymous, Hermann Pálsson, Paul Edwards",read,
1Q84,"Haruki Murakami, Jay Rubin, Philip Gabriel",read,
Psycho-logical,Dean Burnett,read,
Incognito: The Secret Lives of the Brain,David Eagleman,read,
Poems 1962-2012,Louise Glück,read,
"Wild Ones: A Sometimes Dismaying, Weirdly Reassuring Story About Looking at People Looking at Animals in America",Jon Mooallem,read,
" Science, sex, and sacred cows;: Spoofs on science from the Worm runner's 
digest ",James V. McConnell,skimmed,
Stress Analysis of a Strapless Evening Gown ,Robert A. Baker,skimmed,
Delta of Venus,Anaïs Nin,stalled,
The Art and Zen of Motorcycle Maintenance,Robert M. Pirsig,stalled,
 This Changes Everything: Capitalism vs. The Climate ,Naomi Klein,unread,
Selected Cronicas,"Clarice Lispector, Giovanni Pontiero",read,
Monkeyluv: And Other Essays on Our Lives as Animals,Robert M. Sapolsky,read,
,,,
Atlas Obscura: An Explorer's Guide to the World's Hidden Wonders,"Joshua Foer, Dylan Thuras, Ella Morton, Maciej Potulny",read,
"Rendering in Pen and Ink: The Classic Book on Pen and Ink Techniques for Artists, Illustrators, Architects, and Designers","Arthur L. Guptill, Susan E. Meyer",read,
Thinking Basketball,Ben Taylor,read,
The Ocean of Life: The Fate of Man and the Sea,Callum Roberts,read,
The Birthday of the World and Other Stories,Ursula K. Le Guin,read,
,,,
Night Falls Fast: Understanding Suicide,Kay Redfield Jamison,queued,
Memoirs of a Polar Bear,"Yōko Tawada, Susan Bernofsky",,
The Body Artist,Don Delilo,read,3.75
On Writing Well: The Classic Guide to Writing Nonfiction,William Zinsser,read,
"The Chairs Are Where the People Go: How to Live, Work, and Play in the City","Misha Glouberman, Sheila Heti",read,
Darwin: Portrait of a Genius,Paul Johnson,read,3.75
The Ethical Slut: A Guide to Infinite Sexual Possibilities,"Dossie Easton, Catherine A. Liszt",read,
The Future Earth: A Radical Vision for What's Possible in the Age of Warming,Eric Holthaus,read,
,,read,
After Dark,"Haruki Murakami, Jay Rubin",read,3.75
"From Dusk 'Til Dawn: An Insider's View of the Growth of the Animal 
Liberation Movement",Keith Mann,read,
This Other Eden,Ben Elton,read,3.5
Lincoln in the Bardo,George Saunders,read,4.25
How to Travel with a Salmon and Other Essays,"Umberto Eco, William Weaver",read,
The Brief and Frightening Reign of Phil,George Saunders,read,
"The Future Eaters: An Ecological History of the Australasian Lands and 
People",Tim Flannery,read,
"The Bottom Billion: Why the Poorest Countries Are Failing and What Can Be 
Done About It","Paul Collier, هيثم نشواتي",read,
The Principles of Uncertainty,Maira Kalman,read,
No Logo,Naomi Klein,read,
The Selfish Gene,Richard Dawkins,read,
"The 4-Hour Body: An Uncommon Guide to Rapid Fat-Loss, Incredible Sex, and 
Becoming Superhuman",Timothy Ferriss,read,
The Groves of Academe,Mary McCarthy,read,
Academia Obscura,Glen Wright,read,
"Maphead: Charting the Wide, Weird World of Geography Wonks",Ken Jennings,read,
Tenth of December,George Saunders,read,
Brave New World,Aldous Huxley,read,
The Bell Jar,Sylvia Plath,read,
Siddhartha,"Hermann Hesse, Hilda Rosner",read,3.5
Steal Like an Artist: 10 Things Nobody Told You About Being Creative,Austin Kleon,read,
Still Life with Woodpecker,Tom Robbins,read,
Snow Crash,Neal Stephenson,read,4.25
Norwegian Wood,"Haruki Murakami, Jay Rubin",read,4
The Argonauts,Maggie Nelson,read,
The Alchemist,"Paulo Coelho, Alan R. Clarke, James Noel Smith",read,
The Comprehensive ENFP Survival Guide,Heidi Priebe,read,
Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,read,
The Serendipity Foundation,Sam Smit,read,
Talking to Strangers: What We Should Know about the People We Don't Know,Malcolm Gladwell,read,
Opening Up: A Guide to Creating and Sustaining Open Relationships,Tristan Taormino,read,
Why We Sleep: Unlocking the Power of Sleep and Dreams,Matthew Walker,read,
In Praise of Idleness and Other Essays,Bertrand Russell,read,
"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,read,
Sum: Forty Tales from the Afterlives,David Eagleman,read,4
Seneca's Letters from a Stoic,Lucius Annaeus Seneca,read,
Calypso,David Sedaris,read,4
Philosophy of Law: A Very Short Introduction,Raymond Wacks,read,
21 Lessons for the 21st Century,Yuval Noah Harari,read,4.25
The Overstory,Richard Powers,read,4.5
Meditations,"Marcus Aurelius, Martin Hammond, Albert Wittstock, Diskin Clay",read,
Utopia for Realists,Rutger Bregman,read,4
Bird by Bird: Some Instructions on Writing and Life,Anne Lamott,read,
Sex From Scratch: Making Your Own Relationship Rules,Sarah Mirk,read,
Sapiens: A Brief History of Humankind,Yuval Noah Harari,read,
Homo Deus: A History of Tomorrow,Yuval Noah Harari,read,
"PAIS BAJO MI PIEL, EL",Gioconda Belli,read,
Wild Law,Cormac Cullinan,read,
Beyond Addiction: How Science and Kindness Help People Change,Jeffrey Foote,read,4.25
"How to Change Your Mind: What the New Science of Psychedelics Teaches Us About Consciousness, Dying, Addiction, Depression, and Transcendence",Michael Pollan,read,4.5
More Than Two: A Practical Guide to Ethical Polyamory,"Franklin Veaux, Eve Rickert, Tatiana Gill, Janet W. Hardy",read,
Men at Arms,Terry Pratchett,read,4.25
Sapiens: A Brief History of Humankind,Yuval Noah Harari,read,
Why We Sleep: Unlocking the Power of Sleep and Dreams,Matthew Walker,read,
How to Travel with a Salmon and Other Essays,"Umberto Eco, William Weaver",read,
A Field Guide to Getting Lost,Rebecca Solnit,read,
Six Easy Pieces: Essentials of Physics By Its Most Brilliant Teacher,Richard P. Feynman,read,
A General Theory of Love,"Thomas Lewis, Fari Amini, Richard Lannon",read,
Adult Children of Alcoholics,Janet Geringer Woititz,read,
Being Mortal: Medicine and What Matters in the End,Atul Gawande,read,
Catch-22,Joseph Heller,read,
Che: The Diaries of Ernesto Che Guevara,Ernesto Che Guevara,read,
Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,read,
"From Dusk 'Til Dawn: An Insider's View of the Growth of the Animal 
Liberation Movement",Keith Mann,read,
"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,read,
Heat: How We Can Stop the Planet Burning,George Monbiot,read,
Human Universe,"Brian Cox, Andrew Cohen",read,
I Burn Paris,"Bruno Jasieński, Cristian Opris, Soren Gauger, Marcin Piekoszewski",read,
Logicomix: An Epic Search for Truth,"Apostolos K. Doxiadis, Christos H. Papadimitriou, Alecos Papadatos, Annie Di Donna",read,
"Maphead: Charting the Wide, Weird World of Geography Wonks",Ken Jennings,read,
"Meltdown Iceland: How The Global Financial Crisis Bankupted An Entire 
Country",Roger Boyes,read,
"Murder in Samarkand: A British Ambassador's Controversial Defiance of 
Tyranny in the War on Terror",Craig Murray,read,
A Conversation at the End of the World,Praveen Herat,read,
Recipes For Disaster: An Anarchist Cookbook A Moveable Feast,,read,
Wild Law,Cormac Cullinan,read,
